BSHD,2012/08/28 18:50:25,0001,0116.0003,15840  
Pilot Sector Name,SID,NID,Extend BID,T-PN,Antenna Lati,Antenna Longi,Antenna Alti,Antenna Loc Accu,Sector Center Lati,Sector Center Longi,Sector Center Alti,Antenna Orientation,Antenna Opening,Max Antenna Range,Terrain Average Height,Terrain Height Standard Deviation,Potential Repeater,PN Increment,FWD Calib,FWD Calib Accu,RTD Calib,RTD Calib Accu,FormatType,SwitchNum
NJC9-6-242-ruikaiguoji_C,14174,11,15859862,426,32.221848,118.733681,33,300,32.219823,118.729535,24,240,120,1500,23,5,0,1,15.00,39,1.00,524,1,-1
NJC9-6-242-ruikaiguoji_C,14174,11,18546838,426,32.221848,118.733681,33,300,32.219823,118.729535,24,240,120,1500,23,5,0,1,15.00,39,1.00,524,1,-1
NJC1720-0-283-fuqiao,14174,10,13172896,504,32.050972,118.791875,5,300,32.050972,118.791875,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1720-0-283-fuqiao,14174,10,15859872,504,32.050972,118.791875,5,300,32.050972,118.791875,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1720-0-283-fuqiao,14174,10,18546848,504,32.050972,118.791875,5,300,32.050972,118.791875,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1720-4-283-fuqiao,14174,10,10485924,93,32.050625,118.789167,40,300,32.052740,118.789167,4,0,120,784,5,1,1,1,15.00,39,1.00,524,1,-1
NJC1720-4-283-fuqiao,14174,10,13172900,93,32.050625,118.789167,40,300,32.052740,118.789167,4,0,120,784,5,1,1,1,15.00,39,1.00,524,1,-1
NJC1720-4-283-fuqiao,14174,10,15859876,93,32.050625,118.789167,40,300,32.052740,118.789167,4,0,120,784,5,1,1,1,15.00,39,1.00,524,1,-1
NJC1720-4-283-fuqiao,14174,10,18546852,93,32.050625,118.789167,40,300,32.052740,118.789167,4,0,120,784,5,1,1,1,15.00,39,1.00,524,1,-1
NJC1720-5-283-fuqiao,14174,10,10485925,261,32.050625,118.789167,40,300,32.049265,118.791079,4,130,120,784,4,1,1,1,15.00,39,1.00,524,1,-1
NJC1720-5-283-fuqiao,14174,10,13172901,261,32.050625,118.789167,40,300,32.049265,118.791079,4,130,120,784,4,1,1,1,15.00,39,1.00,524,1,-1
NJC1720-5-283-fuqiao,14174,10,15859877,261,32.050625,118.789167,40,300,32.049265,118.791079,4,130,120,784,4,1,1,1,15.00,39,1.00,524,1,-1
NJC1720-5-283-fuqiao,14174,10,18546853,261,32.050625,118.789167,40,300,32.049265,118.791079,4,130,120,784,4,1,1,1,15.00,39,1.00,524,1,-1
NJC1720-6-283-fuqiao,14174,10,10485926,429,32.050625,118.789167,40,300,32.049567,118.787006,4,240,120,784,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1720-6-283-fuqiao,14174,10,13172902,429,32.050625,118.789167,40,300,32.049567,118.787006,4,240,120,784,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1720-6-283-fuqiao,14174,10,15859878,429,32.050625,118.789167,40,300,32.049567,118.787006,4,240,120,784,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1720-6-283-fuqiao,14174,10,18546854,429,32.050625,118.789167,40,300,32.049567,118.787006,4,240,120,784,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-0-283-houzaimen_BBU_1,14174,10,13172912,157,32.042917,118.805972,5,300,32.042917,118.805972,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-0-283-houzaimen_BBU_1,14174,10,15859888,157,32.042917,118.805972,5,300,32.042917,118.805972,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-0-283-houzaimen_BBU_1,14174,10,18546864,157,32.042917,118.805972,5,300,32.042917,118.805972,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-1-283-houzaimen_BBU_1,14174,10,13172913,325,32.042917,118.805972,5,300,32.042917,118.805972,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-1-283-houzaimen_BBU_1,14174,10,15859889,325,32.042917,118.805972,5,300,32.042917,118.805972,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-1-283-houzaimen_BBU_1,14174,10,18546865,325,32.042917,118.805972,5,300,32.042917,118.805972,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-2-283-houzaimen_BBU_1,14174,10,13172914,496,32.041875,118.818125,6,300,32.041875,118.818125,4,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-2-283-houzaimen_BBU_1,14174,10,15859890,496,32.041875,118.818125,6,300,32.041875,118.818125,4,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-2-283-houzaimen_BBU_1,14174,10,18546866,496,32.041875,118.818125,6,300,32.041875,118.818125,4,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-3-283-houzaimen_BBU_1,14174,10,13172915,160,32.041875,118.818125,6,300,32.041875,118.818125,4,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-3-283-houzaimen_BBU_1,14174,10,15859891,160,32.041875,118.818125,6,300,32.041875,118.818125,4,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-3-283-houzaimen_BBU_1,14174,10,18546867,160,32.041875,118.818125,6,300,32.041875,118.818125,4,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-4-283-houzaimen_BBU_1,14174,10,13172916,328,32.041875,118.818125,6,300,32.041875,118.818125,4,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-4-283-houzaimen_BBU_1,14174,10,15859892,328,32.041875,118.818125,6,300,32.041875,118.818125,4,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-4-283-houzaimen_BBU_1,14174,10,18546868,328,32.041875,118.818125,6,300,32.041875,118.818125,4,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC11-5-242-houzaimen_BBU_1_C,14174,10,13172917,163,32.043333,118.807500,5,300,32.043333,118.807500,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC11-5-242-houzaimen_BBU_1_C,14174,10,15859893,163,32.043333,118.807500,5,300,32.043333,118.807500,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC11-5-242-houzaimen_BBU_1_C,14174,10,18546869,163,32.043333,118.807500,5,300,32.043333,118.807500,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1765-13-283-anhui-chuzhou-laianshiguanzhenlon,14174,20,18546877,45,32.513300,118.566000,87,300,32.517350,118.574319,33,60,120,3000,33,6,0,3,15.00,39,1.00,524,1,-1
NJC1765-14-283-anhui-chuzhou-laianshiguanzhenlon,14174,20,18546878,213,32.513300,118.566000,87,300,32.505199,118.566000,32,180,120,3000,31,4,0,3,15.00,39,1.00,524,1,-1
NJC1765-15-283-anhui-chuzhou-laianshiguanzhenlon,14174,20,18546879,381,32.513300,118.566000,88,300,32.516071,118.556973,36,290,120,3000,38,5,0,3,15.00,39,1.00,524,1,-1
NJC13-0-160-houzaimen_BBU_9_C,14174,10,10485968,42,32.045833,118.810278,28,300,32.049884,118.810278,4,0,120,1500,7,5,0,1,15.00,39,1.00,524,1,-1
NJC13-0-160-houzaimen_BBU_9_C,14174,10,13172944,42,32.045833,118.810278,28,300,32.049884,118.810278,4,0,120,1500,7,5,0,1,15.00,39,1.00,524,1,-1
NJC13-0-160-houzaimen_BBU_9_C,14174,10,15859920,42,32.045833,118.810278,28,300,32.049884,118.810278,4,0,120,1500,7,5,0,1,15.00,39,1.00,524,1,-1
